name,lat,lon,population,state,district
Punch,33.77033,74.09254,28197,Jammu and Kashmir,Punch
Kilakarai,9.23183,78.78545,38355,Tamil Nadu,Ramanathapuram
Zunheboto,25.96667,94.51667,29499,Nagaland,Zunheboto
Ziro,27.59497,93.83854,13893,Arunachal Pradesh,Lower Subansiri
Zamania,25.41961,83.55786,32008,Uttar Pradesh,Ghazipur
Zaidpur,26.83093,81.32929,33397,Uttar Pradesh,Bara Banki
Zahirabad,17.68138,77.60743,71166,Telangana,Sangareddy
Zafarabad,25.69867,82.73354,9106,Uttar Pradesh,Jaunpur
Yol,32.16423,76.19622,11314,Himachal Pradesh,Kangra
Yercaud,11.77599,78.20927,11582,Tamil Nadu,Salem
Yeola,20.0424,74.48944,49826,Maharashtra,Nashik Division
Yellareddi,18.19433,78.01777,14923,Telangana,Kamareddy
Yellapur,14.9637,74.70929,20452,Karnataka,Uttar Kannada
Yellandu,17.59064,80.32146,43787,Telangana,Bhadradri Kothagudem
Yelbarga,15.61545,76.01184,14814,Karnataka,Koppal
Yelandur,12.04629,77.03034,8901,Karnataka,Chamrajnagar
Yelahanka,13.10073,77.59632,116447,Karnataka,Bangalore Urban
Yechagam,33.98734,74.75166,7461,Jammu and Kashmir,Badgam
Yavatmal,20.39324,78.13201,128175,Maharashtra,Yavatmal
Yaval,21.16772,75.69762,36706,Maharashtra,Jalgaon
Yanam,16.73308,82.21364,55626,Andhra Pradesh,East Godavari
Yamuna Nagar,30.12796,77.28371,217071,Haryana,Yamunanagar
Yairipok,24.67792,94.04767,9569,Manipur,Thoubal
Yadgir,16.77007,77.13755,74294,Karnataka,Yadgir
Xeldem,15.25,74.08333,7434,Goa,South Goa
Wokha,26.09717,94.25817,54010,Nagaland,Wokha
Weir,27.0186,77.17636,19385,Rajasthan,Bharatpur
Wellington,11.36552,76.78442,20254,Tamil Nadu,Nilgiris
Wazirganj,28.21145,79.05665,19372,Uttar Pradesh,Budaun
Washim,20.11128,77.133,78387,Maharashtra,Washim
Warud,21.47101,78.26965,47817,Maharashtra,Amravati Division
Warora,20.22885,79.00277,46532,Maharashtra,Chandrapur
Waris Aliganj,25.0172,85.64047,35243,Bihar,Nawada
Wardha,20.73933,78.59784,113759,Maharashtra,Wardha
Waraseoni,21.76184,80.04301,27494,Madhya Pradesh,Balaghat
Warangal,18.0,79.58333,704570,Telangana,Hanamkonda
Wanparti,16.36738,78.06889,60949,Telangana,Wanaparthy
Wankaner,22.61198,70.94379,47814,Gujarat,Morbi
Wani,20.05507,78.95313,58840,Maharashtra,Yavatmal
Wangjing,24.58921,94.06386,8055,Manipur,Thoubal
Waluj Buzurg,19.79632,75.22648,20220,Maharashtra,Aurangabad
Walajapet,12.9251,79.36626,47498,Tamil Nadu,Ranipet district
Walajabad,12.79041,79.82358,14684,Tamil Nadu,Kancheepuram
Wai,17.95276,73.89058,36025,Maharashtra,Satara Division
Waghai,20.77048,73.50074,6715,Gujarat,The Dangs
Wadi,17.05183,76.99048,37988,Karnataka,Gulbarga
Wadgaon,18.7392,73.63945,14595,Maharashtra,Pune Division
Wadgaon,16.83553,74.31338,25651,Maharashtra,Kolhapur
Vypin,9.96667,76.25,23717,Kerala,Ernakulam
Vyara,21.11079,73.39365,39789,Gujarat,Tapi
Vuyyuru,16.36307,80.84406,36755,Andhra Pradesh,Krishna
Vrindavan,27.58105,77.69662,60195,Uttar Pradesh,Mathura
Vriddhachalam,11.5183,79.32411,61498,Tamil Nadu,Cuddalore
Vizianagaram,18.11692,83.41148,228720,Andhra Pradesh,Vizianagaram District
Vittal,12.76325,75.09896,17618,Karnataka,Dakshina Kannada
Vite,17.27343,74.53792,48289,Maharashtra,Sangli
Visnagar,23.69855,72.5521,76753,Gujarat,Mahesana
Visharam,12.91808,79.27756,44786,Tamil Nadu,Ranipet district
Visakhapatnam,17.68009,83.20161,1063178,Andhra Pradesh,Visakhapatnam
Visavadar,21.33954,70.74966,19515,Gujarat,Junagadh
Virudunagar,9.58509,77.95787,73273,Tamil Nadu,Virudhunagar
Virpur,23.1892,73.47987,10238,Gujarat,Mahisagar
Virinchipuram,12.92343,79.02186,7699,Tamil Nadu,Vellore
Vadakku Viravanallur,8.69786,77.51916,19689,Tamil Nadu,Tirunelveli Kattabo
Virajpet,12.19644,75.80512,17246,Karnataka,Kodagu
Virar,19.45591,72.81136,1222390,Maharashtra,Palghar
Viramgam,23.12564,72.05014,55821,Gujarat,Ahmadabad
Viralimalai,10.60226,78.54711,10883,Tamil Nadu,Pudukkottai
Viraganur,11.47613,78.73553,10854,Tamil Nadu,Salem
Vinukonda,16.0531,79.73964,62550,Andhra Pradesh,Palnadu
Vinchia,22.21027,71.37967,12355,Gujarat,Rajkot
Villupuram,11.93975,79.49244,97380,Tamil Nadu,Villupuram
Villianur,11.91393,79.75568,34383,Puducherry,Puducherry
Vilattikulam,9.13227,78.16635,15277,Tamil Nadu,Thoothukkudi
Vikravandi,12.0369,79.54595,12022,Tamil Nadu,Villupuram
Vikramasingapuram,8.71477,77.39032,47241,Tamil Nadu,Tirunelveli Kattabo
Vikarabad,17.3381,77.90441,53143,Telangana,Vikarabad
Vijayawada,16.50745,80.6466,1143232,Andhra Pradesh,NTR
Vijayapuri,11.2453,77.50066,7222,Tamil Nadu,Erode
Vijayanagar,23.9975,73.28553,6078,Gujarat,Sabarkantha
Vijapur,23.5623,72.74848,35118,Gujarat,Mahesana
Vidisha,23.52604,77.81092,155951,Madhya Pradesh,Vidisha
Vettur,8.71742,76.72582,37219,Kerala,Thiruvananthapuram
Vettavalam,12.10769,79.24516,15506,Tamil Nadu,Tiruvannamalai
Vettaikkaranpudur,10.56207,76.91305,18128,Tamil Nadu,Coimbatore
Vetapalem,15.78502,80.30663,38671,Andhra Pradesh,Bapatla
Verna,15.35479,73.92454,6632,Goa,South Goa
Veraval,20.9077,70.36786,171121,Gujarat,Gir Somnath
Vepagunta,17.77844,83.21577,26881,Andhra Pradesh,Visakhapatnam
Venkatagiri,13.96005,79.58032,52688,Andhra Pradesh,Tirupati
Vengurla,15.86125,73.63182,12498,Maharashtra,Sindhudurg
Vemalwada,18.46523,78.86894,33706,Telangana,Rajanna Sircilla
Velur,11.10825,78.00113,25012,Tamil Nadu,Namakkal
Vellore,12.9184,79.13255,484690,Tamil Nadu,Vellore
Vellakkovil,10.94627,77.71242,40359,Tamil Nadu,Tiruppur
Velankanni,10.68333,79.83333,11108,Tamil Nadu,Nagapattinam
Vejalpur,22.69021,73.56299,121610,Gujarat,Panch Mahals
Vedasandur,10.53102,77.95019,12493,Tamil Nadu,Dindigul
Vedaraniyam,10.37208,79.85095,34266,Tamil Nadu,Nagapattinam
Vayalar,9.71158,76.33888,25094,Kerala,Alappuzha
Vav,24.36459,71.51203,12034,Gujarat,Banas Kantha
Vattalkundu,10.16069,77.75883,22928,Tamil Nadu,Dindigul
Vasudevanallur,9.24171,77.41177,21361,Tamil Nadu,Tenkasi district
Vasind,19.40844,73.26285,20561,Maharashtra,Thane
Vasco da Gama,15.39585,73.81568,100485,Goa,South Goa
Vaso,22.66079,72.75519,15934,Gujarat,Kheda
Vartej,21.73947,72.06553,11354,Gujarat,Bhavnagar
Varsoli,18.66646,72.86923,11039,Maharashtra,Raigarh
